id,title,body,author,created_at
3,Reminder Av2,"Voor de leden die er de vorige keer niet bij waren: lees vandaag zeker nog het clubreglement, aangezien dit nog goedgekeurd moet worden",Systeem,2025-12-06 12:05:19.317877+00
4,Stemmin AV2,Stemmen kan tot zondag 19 oktober 23:59.,Systeem,2025-12-06 12:05:19.447845+00
5,Reminder Lezing,Tot morgen!,Systeem,2025-12-06 12:05:19.5318+00
6,Gratis FVB abonnement,"We raden jullie dan ook aan om deze mail eens grondig door te nemen, en niet te aarzelen om je gratis abonnement te activeren!",Systeem,2025-12-06 12:05:19.621952+00
7,Reminder AV3,Een korte reminder dat deze avond AV 3 op de planning staat. Gelieve allemaal tegen 19:25 uur aanwezig te zijn in auditorium Vlerick op campus Tweekerken. Vergeet zeker jullie laptop niet mee te brengen,Systeem,2025-12-06 12:05:19.713607+00
8,Sjablonen One-drive,"Beste leden, Bij deze een korte mededeling over de documenten in de OneDrive: Als jullie documenten uit de OneDrive willen gebruiken of bewerken, gelieve deze eerst te downloaden en daarna pas te bewerken. Zo blijven de lege sjablonen steeds beschikbaar in de OneDrive",Systeem,2025-12-06 12:05:19.794797+00
9,Resultaat Stemming,"Op basis van deze resultaten wordt Alamos Gold (AGI) aangekocht aan marktprijs, Valeo niet.",Systeem,2025-12-06 12:05:19.884801+00
