transaction_id,transaction_date,transaction_quantity,transaction_type,sector,asset_class,transaction_amount,transaction_ticker,transaction_currency,transaction_share_price,asset_name,asset_type
211,2024-11-12 00:00:00+00,2,BUY,Tech,Stock,1293.28,ADBE,USD,646.64,ADOBE INC.,Stock
212,2024-11-12 00:00:00+00,3,BUY,Tech,Stock,2603.07,NVDA,USD,867.69,NVIDIA CORPORATION,Stock
213,2024-11-26 00:00:00+00,6,BUY,Tech,Stock,1062.12,GOOGL,USD,177.02,ALPHABET INC.,Stock
214,2024-11-26 00:00:00+00,3,BUY,Tech,Stock,1320.57,MSFT,USD,440.19,MICROSOFT CORPORATION,Stock
215,2024-11-26 00:00:00+00,2,BUY,Tech,Stock,1323.72,ADBE,USD,661.86,ADOBE INC.,Stock
216,2024-11-26 00:00:00+00,3,BUY,Tech,Stock,2739.18,NVDA,USD,913.06,NVIDIA CORPORATION,Stock
217,2025-03-10 00:00:00+00,7,BUY,Cons. & Health,Stock,3945.48,NOVO B,DKK,563.64,Novo Nordisk A/S,Stock
218,2025-03-12 00:00:00+00,6,BUY,Tech,Stock,884.82,GOOGL,USD,147.47,ALPHABET INC.,Stock
219,2025-03-12 00:00:00+00,3,BUY,Tech,Stock,1267.71,MSFT,USD,422.57,MICROSOFT CORPORATION,Stock
220,2025-03-12 00:00:00+00,2,BUY,Tech,Stock,1087.74,ADBE,USD,543.87,ADOBE INC.,Stock
221,2025-03-12 00:00:00+00,3,BUY,Tech,Stock,2806.89,NVDA,USD,935.63,NVIDIA CORPORATION,Stock
222,2025-04-08 00:00:00+00,50,BUY,Cons. & Health,Stock,2158.5,ITX,EUR,43.17,Industria de Diseno Textil SA,Stock
223,2025-05-12 00:00:00+00,13,BUY,Cons. & Health,Stock,5397.86,NOVO B,DKK,415.22,Novo Nordisk A/S,Stock
224,2025-07-29 00:00:00+00,75,SELL,Cons. & Health,Stock,1725,FAGR,EUR,23,Fagron NV,Stock
